[1]	train-rmse:2.025977	test-rmse:2.025792 
[2]	train-rmse:1.985476	test-rmse:1.985281 
[3]	train-rmse:1.945784	test-rmse:1.945580 
[4]	train-rmse:1.906886	test-rmse:1.906671 
[5]	train-rmse:1.868766	test-rmse:1.868542 
[6]	train-rmse:1.831409	test-rmse:1.831177 
[7]	train-rmse:1.794799	test-rmse:1.794558 
[8]	train-rmse:1.758922	test-rmse:1.758673 
[9]	train-rmse:1.723761	test-rmse:1.723505 
[10]	train-rmse:1.689304	test-rmse:1.689047 
[11]	train-rmse:1.655537	test-rmse:1.655271 
[12]	train-rmse:1.622444	test-rmse:1.622179 
[13]	train-rmse:1.590014	test-rmse:1.589741 
[14]	train-rmse:1.558232	test-rmse:1.557959 
[15]	train-rmse:1.527086	test-rmse:1.526808 
[16]	train-rmse:1.496562	test-rmse:1.496286 
[17]	train-rmse:1.466649	test-rmse:1.466368 
[18]	train-rmse:1.437334	test-rmse:1.437052 
[19]	train-rmse:1.408607	test-rmse:1.408320 
[20]	train-rmse:1.380453	test-rmse:1.380163 
[21]	train-rmse:1.352863	test-rmse:1.352571 
[22]	train-rmse:1.325825	test-rmse:1.325530 
[23]	train-rmse:1.299327	test-rmse:1.299034 
[24]	train-rmse:1.273360	test-rmse:1.273067 
[25]	train-rmse:1.247912	test-rmse:1.247618 
[26]	train-rmse:1.222973	test-rmse:1.222680 
[27]	train-rmse:1.198533	test-rmse:1.198236 
[28]	train-rmse:1.174581	test-rmse:1.174283 
[29]	train-rmse:1.151109	test-rmse:1.150809 
[30]	train-rmse:1.128106	test-rmse:1.127673 
[31]	train-rmse:1.105563	test-rmse:1.105128 
[32]	train-rmse:1.083471	test-rmse:1.083037 
[33]	train-rmse:1.061821	test-rmse:1.061256 
[34]	train-rmse:1.040603	test-rmse:1.039893 
[35]	train-rmse:1.019811	test-rmse:1.019098 
[36]	train-rmse:0.999434	test-rmse:0.998723 
[37]	train-rmse:0.979465	test-rmse:0.978761 
[38]	train-rmse:0.959895	test-rmse:0.959053 
[39]	train-rmse:0.940717	test-rmse:0.939872 
[40]	train-rmse:0.921922	test-rmse:0.921086 
[41]	train-rmse:0.903503	test-rmse:0.902530 
[42]	train-rmse:0.885452	test-rmse:0.884486 
[43]	train-rmse:0.867764	test-rmse:0.866801 
[44]	train-rmse:0.850429	test-rmse:0.849468 
[45]	train-rmse:0.833440	test-rmse:0.832480 
[46]	train-rmse:0.816791	test-rmse:0.815701 
[47]	train-rmse:0.800475	test-rmse:0.799393 
[48]	train-rmse:0.784486	test-rmse:0.783408 
[49]	train-rmse:0.768817	test-rmse:0.767735 
[50]	train-rmse:0.753462	test-rmse:0.752382 
[51]	train-rmse:0.738413	test-rmse:0.737333 
[52]	train-rmse:0.723665	test-rmse:0.722539 
[53]	train-rmse:0.709212	test-rmse:0.707972 
[54]	train-rmse:0.695049	test-rmse:0.693812 
[55]	train-rmse:0.681169	test-rmse:0.679937 
[56]	train-rmse:0.667567	test-rmse:0.666284 
[57]	train-rmse:0.654237	test-rmse:0.652951 
[58]	train-rmse:0.641174	test-rmse:0.639827 
[59]	train-rmse:0.628372	test-rmse:0.627027 
[60]	train-rmse:0.615826	test-rmse:0.614484 
[61]	train-rmse:0.603531	test-rmse:0.602189 
[62]	train-rmse:0.591482	test-rmse:0.590088 
[63]	train-rmse:0.579674	test-rmse:0.578278 
[64]	train-rmse:0.568103	test-rmse:0.566709 
[65]	train-rmse:0.556763	test-rmse:0.555372 
[66]	train-rmse:0.545649	test-rmse:0.544189 
[67]	train-rmse:0.534759	test-rmse:0.533265 
[68]	train-rmse:0.524086	test-rmse:0.522595 
[69]	train-rmse:0.513627	test-rmse:0.512141 
[70]	train-rmse:0.503377	test-rmse:0.501895 
[71]	train-rmse:0.493333	test-rmse:0.491849 
[72]	train-rmse:0.483489	test-rmse:0.482007 
[73]	train-rmse:0.473842	test-rmse:0.472358 
[74]	train-rmse:0.464389	test-rmse:0.462902 
[75]	train-rmse:0.455124	test-rmse:0.453638 
[76]	train-rmse:0.446045	test-rmse:0.444560 
[77]	train-rmse:0.437148	test-rmse:0.435644 
[78]	train-rmse:0.428428	test-rmse:0.426926 
[79]	train-rmse:0.419883	test-rmse:0.418310 
[80]	train-rmse:0.411510	test-rmse:0.409932 
[81]	train-rmse:0.403304	test-rmse:0.401729 
[82]	train-rmse:0.395263	test-rmse:0.393685 
[83]	train-rmse:0.387382	test-rmse:0.385789 
[84]	train-rmse:0.379660	test-rmse:0.378068 
[85]	train-rmse:0.372090	test-rmse:0.370407 
[86]	train-rmse:0.364674	test-rmse:0.362991 
[87]	train-rmse:0.357406	test-rmse:0.355724 
[88]	train-rmse:0.350283	test-rmse:0.348605 
[89]	train-rmse:0.343304	test-rmse:0.341623 
[90]	train-rmse:0.336462	test-rmse:0.334783 
[91]	train-rmse:0.329759	test-rmse:0.328038 
[92]	train-rmse:0.323190	test-rmse:0.321432 
[93]	train-rmse:0.316753	test-rmse:0.314912 
[94]	train-rmse:0.310445	test-rmse:0.308575 
[95]	train-rmse:0.304262	test-rmse:0.302391 
[96]	train-rmse:0.298203	test-rmse:0.296335 
[97]	train-rmse:0.292267	test-rmse:0.290398 
[98]	train-rmse:0.286449	test-rmse:0.284489 
[99]	train-rmse:0.280747	test-rmse:0.278787 
[100]	train-rmse:0.275161	test-rmse:0.273188 
[101]	train-rmse:0.269685	test-rmse:0.267712 
[102]	train-rmse:0.264320	test-rmse:0.262339 
[103]	train-rmse:0.259062	test-rmse:0.257051 
[104]	train-rmse:0.253910	test-rmse:0.251899 
[105]	train-rmse:0.248861	test-rmse:0.246783 
[106]	train-rmse:0.243913	test-rmse:0.241823 
[107]	train-rmse:0.239064	test-rmse:0.236926 
[108]	train-rmse:0.234312	test-rmse:0.232176 
[109]	train-rmse:0.229656	test-rmse:0.227522 
[110]	train-rmse:0.225093	test-rmse:0.222934 
[111]	train-rmse:0.220623	test-rmse:0.218389 
[112]	train-rmse:0.216243	test-rmse:0.214012 
[113]	train-rmse:0.211950	test-rmse:0.209721 
[114]	train-rmse:0.207743	test-rmse:0.205505 
[115]	train-rmse:0.203621	test-rmse:0.201386 
[116]	train-rmse:0.199580	test-rmse:0.197350 
[117]	train-rmse:0.195622	test-rmse:0.193382 
[118]	train-rmse:0.191742	test-rmse:0.189740 
[119]	train-rmse:0.187941	test-rmse:0.185895 
[120]	train-rmse:0.184217	test-rmse:0.182171 
[121]	train-rmse:0.180567	test-rmse:0.178513 
[122]	train-rmse:0.176990	test-rmse:0.174938 
[123]	train-rmse:0.173485	test-rmse:0.171411 
[124]	train-rmse:0.170051	test-rmse:0.167768 
[125]	train-rmse:0.166687	test-rmse:0.164402 
[126]	train-rmse:0.163390	test-rmse:0.161072 
[127]	train-rmse:0.160159	test-rmse:0.157687 
[128]	train-rmse:0.156992	test-rmse:0.154499 
[129]	train-rmse:0.153889	test-rmse:0.151332 
[130]	train-rmse:0.150849	test-rmse:0.148294 
[131]	train-rmse:0.147870	test-rmse:0.145318 
[132]	train-rmse:0.144951	test-rmse:0.142208 
[133]	train-rmse:0.142090	test-rmse:0.139349 
[134]	train-rmse:0.139287	test-rmse:0.136551 
[135]	train-rmse:0.136541	test-rmse:0.133727 
[136]	train-rmse:0.133852	test-rmse:0.131043 
[137]	train-rmse:0.131216	test-rmse:0.128326 
[138]	train-rmse:0.128634	test-rmse:0.125748 
[139]	train-rmse:0.126102	test-rmse:0.123199 
[140]	train-rmse:0.123622	test-rmse:0.120717 
[141]	train-rmse:0.121191	test-rmse:0.118280 
[142]	train-rmse:0.118811	test-rmse:0.115918 
[143]	train-rmse:0.116479	test-rmse:0.113744 
[144]	train-rmse:0.114194	test-rmse:0.111424 
[145]	train-rmse:0.111954	test-rmse:0.109207 
[146]	train-rmse:0.109760	test-rmse:0.107023 
[147]	train-rmse:0.107611	test-rmse:0.104732 
[148]	train-rmse:0.105504	test-rmse:0.102618 
[149]	train-rmse:0.103441	test-rmse:0.100463 
[150]	train-rmse:0.101420	test-rmse:0.098453 
[151]	train-rmse:0.099441	test-rmse:0.096552 
[152]	train-rmse:0.097500	test-rmse:0.094619 
[153]	train-rmse:0.095599	test-rmse:0.092639 
[154]	train-rmse:0.093736	test-rmse:0.090771 
[155]	train-rmse:0.091911	test-rmse:0.088943 
[156]	train-rmse:0.090125	test-rmse:0.087163 
[157]	train-rmse:0.088373	test-rmse:0.085492 
[158]	train-rmse:0.086657	test-rmse:0.083785 
[159]	train-rmse:0.084977	test-rmse:0.082110 
[160]	train-rmse:0.083332	test-rmse:0.080389 
[161]	train-rmse:0.081719	test-rmse:0.078779 
[162]	train-rmse:0.080139	test-rmse:0.077163 
[163]	train-rmse:0.078591	test-rmse:0.075624 
[164]	train-rmse:0.077074	test-rmse:0.074127 
[165]	train-rmse:0.075591	test-rmse:0.072664 
[166]	train-rmse:0.074137	test-rmse:0.071234 
[167]	train-rmse:0.072713	test-rmse:0.069833 
[168]	train-rmse:0.071315	test-rmse:0.068448 
[169]	train-rmse:0.069947	test-rmse:0.067085 
[170]	train-rmse:0.068610	test-rmse:0.065812 
[171]	train-rmse:0.067297	test-rmse:0.064506 
[172]	train-rmse:0.066014	test-rmse:0.063238 
[173]	train-rmse:0.064756	test-rmse:0.061951 
[174]	train-rmse:0.063524	test-rmse:0.060743 
[175]	train-rmse:0.062316	test-rmse:0.059551 
[176]	train-rmse:0.061134	test-rmse:0.058381 
[177]	train-rmse:0.059979	test-rmse:0.057291 
[178]	train-rmse:0.058845	test-rmse:0.056173 
[179]	train-rmse:0.057734	test-rmse:0.055342 
[180]	train-rmse:0.056648	test-rmse:0.054265 
[181]	train-rmse:0.055585	test-rmse:0.053290 
[182]	train-rmse:0.054543	test-rmse:0.052242 
[183]	train-rmse:0.053523	test-rmse:0.051500 
[184]	train-rmse:0.052524	test-rmse:0.050508 
[185]	train-rmse:0.051546	test-rmse:0.049598 
[186]	train-rmse:0.050591	test-rmse:0.048655 
[187]	train-rmse:0.049655	test-rmse:0.047718 
[188]	train-rmse:0.048737	test-rmse:0.046822 
[189]	train-rmse:0.047841	test-rmse:0.045969 
[190]	train-rmse:0.046963	test-rmse:0.045110 
[191]	train-rmse:0.046104	test-rmse:0.044289 
[192]	train-rmse:0.045260	test-rmse:0.043471 
[193]	train-rmse:0.044435	test-rmse:0.042655 
[194]	train-rmse:0.043624	test-rmse:0.041867 
[195]	train-rmse:0.042837	test-rmse:0.041144 
[196]	train-rmse:0.042062	test-rmse:0.040402 
[197]	train-rmse:0.041304	test-rmse:0.039671 
[198]	train-rmse:0.040565	test-rmse:0.038963 
[199]	train-rmse:0.039840	test-rmse:0.038270 
[200]	train-rmse:0.039132	test-rmse:0.037616 
[201]	train-rmse:0.038434	test-rmse:0.036982 
[202]	train-rmse:0.037755	test-rmse:0.036329 
[203]	train-rmse:0.037092	test-rmse:0.035708 
[204]	train-rmse:0.036443	test-rmse:0.035136 
[205]	train-rmse:0.035808	test-rmse:0.034528 
[206]	train-rmse:0.035184	test-rmse:0.033969 
[207]	train-rmse:0.034578	test-rmse:0.033396 
[208]	train-rmse:0.033985	test-rmse:0.032848 
[209]	train-rmse:0.033400	test-rmse:0.032330 
[210]	train-rmse:0.032834	test-rmse:0.031786 
[211]	train-rmse:0.032280	test-rmse:0.031261 
[212]	train-rmse:0.031739	test-rmse:0.030795 
[213]	train-rmse:0.031206	test-rmse:0.030299 
[214]	train-rmse:0.030690	test-rmse:0.029826 
[215]	train-rmse:0.030182	test-rmse:0.029387 
[216]	train-rmse:0.029687	test-rmse:0.028928 
[217]	train-rmse:0.029201	test-rmse:0.028479 
[218]	train-rmse:0.028727	test-rmse:0.028045 
[219]	train-rmse:0.028262	test-rmse:0.027620 
[220]	train-rmse:0.027807	test-rmse:0.027203 
[221]	train-rmse:0.027367	test-rmse:0.026800 
[222]	train-rmse:0.026937	test-rmse:0.026408 
[223]	train-rmse:0.026519	test-rmse:0.026028 
[224]	train-rmse:0.026109	test-rmse:0.025664 
[225]	train-rmse:0.025707	test-rmse:0.025306 
[226]	train-rmse:0.025314	test-rmse:0.024956 
[227]	train-rmse:0.024931	test-rmse:0.024606 
[228]	train-rmse:0.024558	test-rmse:0.024274 
[229]	train-rmse:0.024192	test-rmse:0.023940 
[230]	train-rmse:0.023838	test-rmse:0.023633 
[231]	train-rmse:0.023492	test-rmse:0.023328 
[232]	train-rmse:0.023155	test-rmse:0.023038 
[233]	train-rmse:0.022824	test-rmse:0.022754 
[234]	train-rmse:0.022504	test-rmse:0.022490 
[235]	train-rmse:0.022191	test-rmse:0.022223 
